neighbourhood_group,neighbourhood,average_price,number_of_unique_hosts_in_neighbourhood
Bronx,Allerton,90.5945945945946,24
Bronx,Baychester,78.0,4
Bronx,Belmont,79.45,15
Bronx,Bronxdale,51.875,15
Bronx,Castle Hill,74.0,2
Bronx,City Island,94.26666666666667,14
Bronx,Claremont Village,68.9375,12
Bronx,Clason Point,101.33333333333333,13
Bronx,Co-op City,77.5,2
Bronx,Concourse,77.95121951219512,35
Bronx,Concourse Village,73.16666666666667,23
Bronx,East Morrisania,85.0,5
Bronx,Eastchester,124.9,1
Bronx,Edenwald,84.55555555555556,7
Bronx,Fieldston,75.08333333333333,11
Bronx,Fordham,62.06382978723404,35
Bronx,Highbridge,72.04545454545455,14
Bronx,Hunts Point,51.8125,7
Bronx,Kingsbridge,78.20370370370371,43
Bronx,Longwood,74.48936170212765,38
Bronx,Melrose,82.71428571428571,7
Bronx,Morris Heights,62.75,10
Bronx,Morris Park,72.0,8
Bronx,Morrisania,75.42857142857143,6
Bronx,Mott Haven,80.71698113207547,42
Bronx,Mount Eden,60.6,5
Bronx,Mount Hope,80.27777777777777,16
Bronx,North Riverdale,59.166666666666664,4
Bronx,Norwood,68.125,23
Bronx,Olinville,53.0,2
Bronx,Parkchester,68.5625,22
Bronx,Pelham Bay,113.46153846153847,11
Bronx,Pelham Gardens,89.04,20
Bronx,Port Morris,70.47368421052632,20
Bronx,Riverdale,226.85714285714286,7
Bronx,Schuylerville,69.23076923076923,7
Bronx,Soundview,52.84615384615385,9
Bronx,Spuyten Duyvil,154.75,4
Bronx,Throgs Neck,94.52380952380952,14
Bronx,Tremont,49.9,7
Bronx,Unionport,162.0,4
Bronx,University Heights,67.70588235294117,11
Bronx,Van Nest,58.55555555555556,5
Bronx,Wakefield,75.70731707317073,32
Bronx,West Farms,122.0,2
Bronx,Westchester Square,127.44444444444444,6
Bronx,Williamsbridge,104.41176470588235,23
Bronx,Woodlawn,60.09090909090909,9
Brooklyn,Bath Beach,84.8,13
Brooklyn,Bay Ridge,105.37391304347825,92
Brooklyn,Bedford-Stuyvesant,105.95893027698185,2342
Brooklyn,Bensonhurst,77.21311475409836,46
Brooklyn,Bergen Beach,105.75,8
Brooklyn,Boerum Hill,167.76190476190476,127
Brooklyn,Borough Park,64.4,64
Brooklyn,Brighton Beach,87.28813559322033,46
Brooklyn,Brooklyn Heights,201.95967741935485,121
Brooklyn,Brownsville,76.05454545454545,42
Brooklyn,Bushwick,85.1292481977343,1513
Brooklyn,Canarsie,96.23703703703704,95
Brooklyn,Carroll Gardens,178.8989898989899,177
Brooklyn,Clinton Hill,176.15833333333333,415
Brooklyn,Cobble Hill,193.4318181818182,82
Brooklyn,Columbia St,133.57142857142858,32
Brooklyn,Coney Island,125.6,8
Brooklyn,Crown Heights,111.63083003952569,1047
Brooklyn,Cypress Hills,130.968,85
Brooklyn,DUMBO,178.375,22
Brooklyn,Downtown Brooklyn,152.28070175438597,54
Brooklyn,Dyker Heights,95.0909090909091,10
Brooklyn,East Flatbush,106.65727699530517,286
Brooklyn,East New York,87.1875,113
Brooklyn,Flatbush,94.55443548387096,415
Brooklyn,Flatlands,97.93939393939394,51
Brooklyn,Fort Greene,153.8927680798005,343
Brooklyn,Fort Hamilton,95.13333333333334,38
Brooklyn,Gowanus,154.99519230769232,168
Brooklyn,Gravesend,73.18604651162791,30
Brooklyn,Greenpoint,144.4353348729792,675
Brooklyn,Kensington,88.19285714285714,111
Brooklyn,Manhattan Beach,107.0,6
Brooklyn,Midwood,76.62962962962963,71
Brooklyn,Mill Basin,179.75,4
Brooklyn,Navy Yard,151.91666666666666,12
Brooklyn,Park Slope,169.85853658536584,373
Brooklyn,Prospect Heights,148.74918566775244,270
Brooklyn,Prospect-Lefferts Gardens,106.9554565701559,367
Brooklyn,Red Hook,136.57575757575756,62
Brooklyn,Sea Gate,482.5,3
Brooklyn,Sheepshead Bay,102.04761904761905,85
Brooklyn,South Slope,146.02857142857144,210
Brooklyn,Sunset Park,110.66037735849056,249
Brooklyn,Vinegar Hill,172.69230769230768,24
Brooklyn,Williamsburg,139.8125197597218,2724
Brooklyn,Windsor Terrace,130.6875,111
Manhattan,Battery Park City,182.19444444444446,36
Manhattan,Chelsea,221.7944377267231,718
Manhattan,Chinatown,157.46417445482865,286
Manhattan,Civic Center,169.83333333333334,28
Manhattan,East Harlem,132.74655355249206,750
Manhattan,East Village,174.77635997313632,1323
Manhattan,Financial District,218.75049115913555,275
Manhattan,Flatiron District,291.48275862068965,56
Manhattan,Gramercy,205.19391634980988,230
Manhattan,Greenwich Village,239.12091503267973,289
Manhattan,Harlem,117.1483666061706,1758
Manhattan,Hell's Kitchen,186.2205497382199,1087
Manhattan,Inwood,84.8128078817734,172
